Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	emeraldinsight:2e386820_7216_4455_9342_68bb65d29df0
Metric_Types	
Report_Filters	Data_Type=Article|Book|Book_Segment|Dataset|Journal|Multimedia|Newspaper_or_Newsletter|Other|Repository_Item|Report|Thesis_or_Dissertation
Report_Attributes	Attributes_To_Show=Data_Type|Access_Type|Access_Method|YOP
Exceptions	3031: Usage not ready for requested dates (No usage data after Jan 2024 is available)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T13:42:33+00:00
Created_By	LibLynx LLC for Emerald Insight

Item	Publisher	Publisher_ID	Platform	Authors	Publication_Date	Article_version	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Parent_Title	Parent_Authors	Parent_Publication_Date	Parent_Article_Version	Parent_Data_Type	Parent_DOI	Parent_Proprietary_ID	Parent_ISBN	Parent_Print_ISSN	Parent_Online_ISSN	Parent_URI	Component_Title	Component_Authors	Component_Publication_Date	Component_Data_Type	Component_DOI	Component_Proprietary_ID	Component_ISBN	Component_Print_ISSN	Component_Online_ISSN	Component_URI	Data_Type	YOP	Access_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Book review: Positive Academic Leadership: How to Stop Putting Out Fires and Start Making a Difference	Emerald Insight		Emerald Insight				10.1108/LTHE-03-2021-055																											Article	2021	OA_Gold	Regular	Total_Item_Requests	1	1	0
Book review: Positive Academic Leadership: How to Stop Putting Out Fires and Start Making a Difference	Emerald Insight		Emerald Insight				10.1108/LTHE-03-2021-055																											Article	2021	OA_Gold	Regular	Unique_Item_Requests	1	1	0
Building information modelling for building services engineering: benefits, barriers and conducive measures	Emerald Insight		Emerald Insight				10.1108/ECAM-10-2018-0460																											Article	2020	Controlled	Regular	Total_Item_Investigations	1	1	0
Building information modelling for building services engineering: benefits, barriers and conducive measures	Emerald Insight		Emerald Insight				10.1108/ECAM-10-2018-0460																											Article	2020	Controlled	Regular	Unique_Item_Investigations	1	1	0
Building information modelling for building services engineering: benefits, barriers and conducive measures	Emerald Insight		Emerald Insight				10.1108/ECAM-10-2018-0460																											Article	2020	Controlled	Regular	No_License	1	1	0
Campus sustainability audit research in Atlantic Canada: pioneering the campus sustainability assessment framework	Emerald Insight		Emerald Insight				10.1108/14676370610702235																											Article	2006	Controlled	Regular	Total_Item_Investigations	2	2	0
Campus sustainability audit research in Atlantic Canada: pioneering the campus sustainability assessment framework	Emerald Insight		Emerald Insight				10.1108/14676370610702235																											Article	2006	Controlled	Regular	Unique_Item_Investigations	2	2	0
Campus sustainability audit research in Atlantic Canada: pioneering the campus sustainability assessment framework	Emerald Insight		Emerald Insight				10.1108/14676370610702235																											Article	2006	Controlled	Regular	No_License	2	2	0
Case study on the effects of a disability inclusive mindset in a large biotechnology company	Emerald Insight		Emerald Insight				10.1108/JWAM-06-2021-0045																											Article	2021	OA_Gold	Regular	Total_Item_Investigations	4	4	0
Case study on the effects of a disability inclusive mindset in a large biotechnology company	Emerald Insight		Emerald Insight				10.1108/JWAM-06-2021-0045																											Article	2021	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
Case study on the effects of a disability inclusive mindset in a large biotechnology company	Emerald Insight		Emerald Insight				10.1108/JWAM-06-2021-0045																											Article	2021	OA_Gold	Regular	Total_Item_Requests	4	4	0
Case study on the effects of a disability inclusive mindset in a large biotechnology company	Emerald Insight		Emerald Insight				10.1108/JWAM-06-2021-0045																											Article	2021	OA_Gold	Regular	Unique_Item_Requests	1	1	0
Challenges in auditing fair value measurement and accounting estimates: Some evidence from the field	Emerald Insight		Emerald Insight				10.1108/JFRA-01-2019-0002																											Article	2020	Controlled	Regular	No_License	1	1	0
Climate impact assessment and “islandness”: Challenges and opportunities of knowledge production and decision-making for Small Island Developing States	Emerald Insight		Emerald Insight				10.1108/IJCCSM-06-2017-0142																											Article	2017	OA_Gold	Regular	Total_Item_Investigations	1	1	0
Climate impact assessment and “islandness”: Challenges and opportunities of knowledge production and decision-making for Small Island Developing States	Emerald Insight		Emerald Insight				10.1108/IJCCSM-06-2017-0142																											Article	2017	OA_Gold	Regular	Unique_Item_Investigations	1	1	0
Climate impact assessment and “islandness”: Challenges and opportunities of knowledge production and decision-making for Small Island Developing States	Emerald Insight		Emerald Insight				10.1108/IJCCSM-06-2017-0142																											Article	2017	OA_Gold	Regular	Total_Item_Requests	1	1	0
Climate impact assessment and “islandness”: Challenges and opportunities of knowledge production and decision-making for Small Island Developing States	Emerald Insight		Emerald Insight				10.1108/IJCCSM-06-2017-0142																											Article	2017	OA_Gold	Regular	Unique_Item_Requests	1	1	0
Cross‐cultural training to facilitate expatriate adjustment: it works!	Emerald Insight		Emerald Insight				10.1108/00483480510571879																											Article	2005	Controlled	Regular	Total_Item_Investigations	1	1	0
Cross‐cultural training to facilitate expatriate adjustment: it works!	Emerald Insight		Emerald Insight				10.1108/00483480510571879																											Article	2005	Controlled	Regular	Unique_Item_Investigations	1	1	0
Cross‐cultural training to facilitate expatriate adjustment: it works!	Emerald Insight		Emerald Insight				10.1108/00483480510571879																											Article	2005	Controlled	Regular	No_License	1	1	0
