Report_Name	Item Master Report
Report_ID	IR
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	app:297459
Metric_Types	
Report_Filters	
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2018-11-01 and 2024-01-31 exists.); 3050: Parameter Not Recognized in this Context (Unsupported parameters in request: [include_component_details] unsupported parameters will be ignored.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:54:52Z
Created_By	Atypon Systems LLC.

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
Elimination Disorders	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425787.x11_Elimination_Disorders						Total_Item_Investigations	2	2	0
Elimination Disorders	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425787.x11_Elimination_Disorders						Total_Item_Requests	1	1	0
Interpersonal Reconstructive Therapy: Promoting Change in Nonresponders	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.ajp.162.3.639						Unique_Item_Investigations	1	1	0
Interpersonal Reconstructive Therapy: Promoting Change in Nonresponders	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.ajp.162.3.639						Unique_Item_Requests	1	1	0
Interpersonal Reconstructive Therapy: Promoting Change in Nonresponders	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.ajp.162.3.639						Total_Item_Investigations	1	1	0
Interpersonal Reconstructive Therapy: Promoting Change in Nonresponders	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.ajp.162.3.639						Total_Item_Requests	1	1	0
Introduction	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425787.Introduction						Unique_Item_Investigations	1	1	0
Introduction	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425787.Introduction						Unique_Item_Requests	1	1	0
Introduction	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425787.Introduction						Total_Item_Investigations	2	2	0
Introduction	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425787.Introduction						Total_Item_Requests	1	1	0
Personality Disorders	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425787.x18_Personality_Disorders						Unique_Item_Investigations	3	3	0
Personality Disorders	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425787.x18_Personality_Disorders						Unique_Item_Requests	3	3	0
Personality Disorders	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425787.x18_Personality_Disorders						Total_Item_Investigations	16	16	0
Personality Disorders	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425787.x18_Personality_Disorders						Total_Item_Requests	7	7	0
Preface to DSM-5	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425787.x00b_preface_to_DSM-5						Unique_Item_Investigations	1	1	0
Preface to DSM-5	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425787.x00b_preface_to_DSM-5						Unique_Item_Requests	1	1	0
Preface to DSM-5	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425787.x00b_preface_to_DSM-5						Total_Item_Investigations	2	2	0
Preface to DSM-5	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425787.x00b_preface_to_DSM-5						Total_Item_Requests	1	1	0
Preface to DSM-5-TR	American Psychiatric Publishing		American Psychiatric Publishing	10.1176/appi.books.9780890425787.x00a_preface_to_TR						Unique_Item_Investigations	1	1	0
